N,PMA,PAN,ELE,CLE,MAT,BIO,LES,ING,GLOBAL
1,1300,1276,1276,1204,1300,1210,1270,1300,1266
2,1300,1204,1300,1204,1270,1270,1300,1270,1260
3,1276,1252,1276,1204,1300,1240,1270,1270,1257
4,1300,1252,1252,1276,1210,1240,1210,1210,1254
5,1300,1204,1276,1252,1210,1210,1270,1270,1253
6,1276,1276,1276,1204,1300,1210,1210,1240,1253
7,1252,1276,1276,1252,1240,1210,1150,1210,1246
8,1276,1252,1228,1276,1210,1210,1180,1240,1244
9,1300,1252,1276,1228,1300,1300,1120,1060,1243
10,1276,1204,1252,1228,1210,1270,1210,1300,1242
11,1276,1252,1276,1084,1300,1270,1270,1300,1241
12,1276,1252,1252,1228,1210,1150,1180,1300,1239
13,1252,1252,1228,1132,1270,1300,1270,1300,1237
14,1276,1180,1252,1228,1210,1180,1240,1300,1234
15,1300,1228,1156,1228,1270,1180,1210,1300,1232
16,1300,1156,1204,1228,1270,1210,1240,1300,1232
17,1276,1204,1228,1180,1240,1240,1300,1240,1232
18,1276,1180,1276,1204,1240,1150,1210,1300,1231
19,1276,1204,1204,1180,1300,1240,1210,1300,1230
20,1228,1252,1204,1180,1210,1270,1270,1300,1230
21,1228,1252,1276,1252,1180,1240,1000,1270,1228
22,1228,1228,1252,1156,1270,1240,1240,1270,1228
23,1276,1252,1204,1180,1180,1270,1240,1210,1227
24,1276,1228,1156,1252,1240,1240,1240,1180,1227
25,1276,1180,1228,1228,1240,1270,1150,1210,1225
26,1228,1228,1228,1204,1300,1180,1240,1210,1225
27,1204,1204,1252,1228,1210,1210,1240,1070,1225
28,1300,1180,1252,1228,1150,1150,1210,1240,1224
29,1300,1276,1156,1180,1270,1150,1210,1210,1223
30,1252,1228,1252,1180,1270,1240,1240,1090,1223
31,1276,1228,1228,1156,1240,1180,1180,1300,1223
32,1252,1204,1180,1228,1270,1210,1210,1270,1223
33,1300,1252,1204,1204,1240,1090,1120,1270,1222
34,1228,1252,1228,1156,1180,1180,1240,1300,1219
35,1252,1228,1228,1204,1120,1120,1270,1270,1218
36,1228,1276,1228,1204,1060,1150,1180,1300,1216
37,1300,1276,1180,1228,1180,1180,1150,1060,1215
38,1228,1252,1252,1204,1000,1150,1240,1270,1213
39,1276,1204,1156,1228,1120,1180,1210,1300,1212
40,1228,1108,1252,1276,1210,1180,1150,1270,1212
41,1252,1108,1180,1252,1210,1270,1210,1270,1211
42,1276,1252,1180,1156,1210,1180,1090,1300,1210
43,1252,1228,1156,1204,1300,1150,1240,1150,1210
44,1252,1204,1276,1108,1270,1060,1210,1300,1210
45,1228,1132,1276,1204,1180,1150,1210,1300,1210
46,1228,1084,1276,1228,1240,1210,1150,1300,1210
47,1300,1132,1252,1204,1240,1090,1180,1210,1209
48,1204,1180,1204,1204,1150,1240,1210,1270,1204
49,1204,1204,1252,1060,1240,1180,1300,1300,1203
50,1228,1252,1180,1180,1120,1210,1120,1210,1197
51,1204,1228,1252,1132,1180,1180,1270,1090,1197
52,1228,1156,1204,1204,1090,1210,1210,1270,1197
53,1252,1204,1228,1108,1180,1210,1210,1150,1195
54,1276,1204,1132,1132,1270,1150,1210,1240,1195
55,1252,1204,1204,1180,1150,1120,1060,1300,1194
56,1252,1108,1156,1204,1270,1150,1180,1300,1194
57,1180,1204,1204,1204,1270,1060,1240,1150,1193
58,1228,1276,1228,1036,1150,1150,1180,1270,1191
59,1180,1252,1180,1132,1180,1180,1150,1300,1191
60,1180,1228,1180,1156,1180,1270,1090,1270,1191
61,1276,1204,1204,1156,1090,1180,1240,1060,1190
62,1180,1204,1252,1180,1180,1120,1120,1210,1190
63,1180,1228,1180,1156,1150,1180,1210,1240,1189
64,1276,1084,1228,1132,1240,1240,1150,1210,1189
65,1156,1156,1252,1132,1180,1240,1210,1270,1189
66,1252,1180,1132,1204,1060,1210,1150,1270,1186
67,1228,1156,1180,1204,1210,1120,1180,1180,1186
68,1204,1228,1204,1108,1180,1210,1120,1240,1186
69,1156,1156,1204,1180,1210,1150,1210,1270,1185
70,1228,1084,1180,1156,1240,1240,1180,1300,1185
71,1276,1204,1108,1132,1210,1150,1120,1270,1182
72,1228,1204,1228,1204,1090,1180,1120,1000,1180
73,1180,1180,1180,1180,1240,1150,1210,1120,1180
74,1252,1036,1204,1204,1150,1180,1090,1300,1176
75,1252,1084,1156,1180,1210,1240,1150,1180,1176
76,1180,1228,1204,988,1210,1240,1240,1240,1175
77,1132,1156,1252,1060,1180,1270,1240,1240,1175
78,1252,1252,1060,1156,1120,1300,1120,1090,1173
79,1228,1108,1228,1252,1150,1060,1000,1180,1172
80,1204,1204,1228,1180,1150,1120,1120,1000,1172
81,1156,1132,1204,1132,1210,1210,1120,1300,1172
82,1156,1108,1228,1204,1150,1090,1120,1300,1171
83,1252,1228,1252,1084,1240,1030,1090,970,1168
84,1228,1084,1180,1180,1150,1060,1150,1240,1163
85,1252,1204,1204,988,1210,1060,1120,1270,1163
86,1276,1132,1132,1180,1090,1150,1090,1150,1162
87,1204,1228,1180,1108,1180,1150,1180,970,1162
88,1204,1132,1156,1228,1060,1090,1090,1240,1162
89,1204,1204,1204,1084,1120,1180,1150,1090,1162
90,1180,1252,1156,1180,940,1090,1120,1210,1161
91,1252,1108,1084,1228,1240,1180,1060,1090,1160
92,1276,1252,1108,1204,1150,970,1060,970,1158
93,1156,1132,1204,1180,1090,1030,1180,1240,1158
94,1180,1060,1228,1180,1210,1090,1150,1150,1158
95,1228,1180,1228,1108,1240,1060,1060,1000,1157
96,1108,1108,1228,1156,1210,1060,1210,1210,1157
97,1180,1132,1132,1204,1210,1150,1150,1060,1156
98,1228,1228,1084,1012,1240,1180,1060,1270,1153
99,1228,1156,1132,1132,1210,1030,1210,1060,1152
100,1204,1084,1084,1228,1120,1150,1270,1090,1152
101,1036,1156,1180,1228,1120,1060,1150,1300,1152
102,1180,1084,1180,1108,1240,1120,1210,1150,1151
103,1180,1060,1132,1156,1150,1150,1210,1270,1151
104,988,1132,1252,1228,1030,1120,1180,1270,1150
105,1252,1156,1156,1036,1180,1150,1150,1090,1148
106,1132,1132,1228,1108,1150,1000,1120,1300,1148
107,1252,1156,1060,1108,1240,1090,1150,1090,1144
108,1228,1228,1132,1132,1210,1030,850,1120,1142
109,1252,1036,1180,1108,1150,1120,970,1300,1141
110,1252,1108,1156,988,1180,1120,1240,1150,1140
